call_time,hour,day_of_week,is_weekend,month,time_since_last_call,customer_id,customer_age,occupation,city,gender,loan_amount,days_overdue,loan_type,payment_history,last_call_outcome,num_prev_calls,time_since_last_answered_call,call_answered
2024-06-22 15:51:06.225508,15,5,1,6,25.59,58720258,33,Unemployed,Tier-2,Female,37819.58,15,MHF Loan,2.0,Answered,3,0.04,1
2024-02-29 23:54:03.170686,23,3,0,2,93.35,81002507,24,Self-Employed,Tier-2,Male,112075.94,13,MHF Loan,1.0,Not Answered,5,0.76,0
2024-08-31 20:50:53.546622,20,5,1,8,16.62,14417935,25,Homemaker,Tier-3,Male,32426.35,26,MHF Loan,2.0,Answered,4,,1
2024-04-23 10:38:59.025369,10,1,0,4,56.37,20185105,49,Retired,Tier-2,Female,36151.33,1,MHF Loan,2.0,Answered,4,0.03,1
2024-08-31 20:40:52.133514,20,5,1,8,119.56,93061138,33,Homemaker,Tier-3,Female,32704.88,10,MHF Loan,1.0,Answered,2,0.01,1
2024-03-06 18:14:08.499094,18,2,0,3,45.02,33030163,33,Self-Employed,Tier-2,Female,46422.95,1,MHF Loan,0.0,Not Answered,5,4.32,0
2024-02-22 23:13:43.537061,23,3,0,2,29.86,65536020,27,Self-Employed,Metro,Female,42313.81,21,MHF Loan,0.0,Busy,3,0.21,0
2024-03-28 16:56:26.792282,16,3,0,3,,62390293,28,Salaried,Metro,Female,68642.96,15,MHF Loan,2.0,Busy,6,3.64,0
2024-09-30 10:40:12.049465,10,0,0,9,145.01,75235363,26,Unemployed,Tier-3,Female,6931.77,14,MHF Loan,2.0,Answered,4,0.0,1
2024-08-10 12:09:38.142413,12,5,1,8,52.77,77332517,35,Salaried,Tier-3,Female,44609.55,18,MHF Loan,2.0,Answered,2,0.0,1
2024-06-12 00:37:06.287792,0,2,0,6,113.59,38010920,18,Salaried,Tier-2,Male,57966.09,7,MHF Loan,1.0,Voicemail,2,11.05,0
2024-12-24 11:02:51.738657,11,1,0,12,62.46,18350122,33,Salaried,Tier-2,Male,71074.02,5,MHF Loan,0.0,Answered,1,,1
2024-10-21 13:28:09.368472,13,0,0,10,24.33,10485804,54,Salaried,Tier-2,Female,21820.86,0,MHF Loan,1.0,Answered,3,0.03,1
2024-07-29 23:17:18.078201,23,0,0,7,15.46,33554479,40,Self-Employed,Tier-3,Male,69225.7,4,MHF Loan,0.0,Not Answered,2,10.03,0
2024-12-02 04:50:34.668101,4,0,0,12,33.78,56361013,22,Salaried,Tier-2,Male,52778.83,8,MHF Loan,0.0,Busy,5,,0
2024-09-01 21:41:35.798908,21,6,1,9,14.69,98828344,33,Self-Employed,Tier-2,Female,59876.7,15,MHF Loan,0.0,Answered,5,0.03,1
2024-02-09 10:42:34.808364,10,4,0,2,23.17,97779768,22,Homemaker,Metro,Female,48322.02,0,MHF Loan,0.0,Answered,4,0.01,1
2024-08-17 01:09:15.324855,1,5,1,8,24.39,91226170,41,Salaried,Tier-2,Male,82445.12,4,MHF Loan,1.0,Answered,1,0.0,1
2024-09-18 20:34:55.276550,20,2,0,9,7.32,82575416,42,Homemaker,Tier-2,Male,74568.95,7,MHF Loan,2.0,Voicemail,1,1.76,0
2024-08-31 14:06:57.971846,14,5,1,8,31.23,67633212,36,Homemaker,Tier-2,Male,74224.89,0,MHF Loan,,Answered,2,0.01,1
